mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,spectral_bandwidth,zero_crossing_rate,spectrogram_mean,spectrogram_median,spectrogram_variance,label
-79.3971,47.046432,-68.72819,3.3233457,-37.09813,-11.4837475,-21.01349,-23.244942,-11.129178,-4.0045943,-20.882948,-12.83137,-1.5667901,2322.342748438986,1533.0125971224622,0.2650208554025424,1.2641131,0.7183406,1.7025743,0
-76.601944,20.001888,-62.11108,-1.5341839,-43.991776,-16.34401,-16.591894,-30.105875,-17.811342,-8.8204975,-22.069345,-9.001551,10.391793,2614.7787396974895,1631.9899925399384,0.2922496448863636,1.3925396,0.8545355,3.0395188,0
-484.81647,70.329185,6.190199,16.776558,10.572724,17.801058,8.331419,11.094964,7.056996,7.9666653,3.250266,9.32594,3.4262154,1882.6756278274456,2069.42487172317,0.0697265625,0.043160543,0.030672792,0.0051399586,0
-83.40153,34.310238,-68.365425,-9.127095,-41.66497,-15.972037,-17.112473,-27.847431,-21.064428,-10.183726,-11.12373,-13.74313,6.4122534,2406.9837479436096,1644.94898546156,0.2678843352754237,1.2412107,0.79396594,1.6300864,0
-44.33076,33.02213,-68.9474,-12.129637,-50.798134,-8.571634,-22.41728,-32.3488,-19.964996,-5.011404,-22.746075,-6.443564,-0.2749267,2437.9621063489767,1629.6625757730953,0.27812354244402987,1.7918974,1.1594586,3.3665857,0
-56.58612,52.41692,-81.733604,-10.736016,-47.231426,-7.812982,-28.035257,-25.855331,-22.962158,-3.9901702,-18.813978,-8.717433,0.58901304,2126.3613016104196,1490.7854744391454,0.22130330403645834,1.6237891,0.9430005,2.999492,0
-62.64861,40.931473,-84.72884,-9.88623,-45.73035,-8.640007,-21.353746,-30.626772,-24.395226,-4.2078533,-20.967295,1.6837509,2.6857717,2203.9631139559356,1492.1051847464091,0.20980113636363637,1.593456,0.70269746,5.857369,0
-85.370674,30.233034,-59.414246,3.1624906,-46.804,-4.3627667,-14.108657,-30.108974,-23.29736,0.80276537,-24.698883,3.1800354,2.8203673,2585.523059626877,1601.2545654439634,0.3038185248940678,1.2416152,0.722224,2.2841763,0
-61.556805,24.339094,-71.42855,0.22511725,-48.150173,-6.9798517,-18.195713,-31.761028,-27.793222,-5.6474624,-20.688984,-0.7691235,1.3054456,2515.552834261643,1572.2872278234931,0.2749521683673469,1.6130763,0.91106457,4.1115274,0
-58.58649,16.304565,-67.49276,-8.083715,-44.4964,-4.0821705,-21.911476,-27.184586,-15.813911,-2.6544042,-24.0853,-8.660592,0.030049102,2565.806211163415,1659.4941897487656,0.23285060975609756,1.6957976,1.0946201,7.932166,0
-11.401223,16.959759,-57.124863,0.53579414,-47.12419,-17.146042,-17.479912,-21.152744,-19.693556,-1.227014,-19.39017,-10.463768,-4.219735,2726.9151773445005,1685.0458222843793,0.299415717690678,2.6917274,2.025012,4.728311,0
-68.46368,32.96697,-58.652866,3.5822217,-49.25572,-6.540701,-13.65476,-25.89344,-21.31797,2.9086838,-21.798006,-4.9123416,2.0042803,2549.495888358349,1610.0615462001717,0.29691116898148145,1.414683,0.9194092,1.9897993,0
-61.219147,31.779732,-63.17542,-7.9922414,-47.613678,-4.8995466,-26.528688,-25.519764,-27.642141,1.2447727,-17.117424,-4.5589695,3.5961304,2537.114224463912,1664.6471129654603,0.2918979577850877,1.5342509,1.069695,2.0336971,0
-212.65965,-1.4955401,-33.37383,3.105345,-16.411022,-8.328646,-16.780628,5.419442,5.773145,10.385645,3.5453665,4.557683,-2.4515452,3010.66356497094,1970.4138417032332,0.26872601425438597,0.69095415,0.6025675,0.25805995,0
-41.89266,31.881897,-50.937317,-11.479731,-45.31452,-6.007115,-24.773424,-29.987196,-18.391308,-4.0832477,-18.33595,-9.809167,-0.08780156,2558.4242634542125,1796.1453439179556,0.26443917410714285,1.7394468,1.3645376,2.2286048,0
-48.883286,16.784204,-74.305084,-7.2951136,-60.27992,-14.27121,-5.7709637,-26.400267,-19.38737,0.5007984,-31.434189,-10.937838,-2.2483256,2571.6037887917937,1523.764969625642,0.3026677911931818,2.0692744,0.98023665,6.417387,0
-103.32336,13.86613,-52.62821,1.2115575,-62.755783,3.0982056,6.5525517,-32.676083,-11.0842705,-0.10798777,-34.77508,-3.3374434,-4.159236,2808.1960370580446,1484.216013913342,0.34286733774038464,1.3305385,0.5783174,3.9808826,0
-68.21468,6.4520264,-72.48444,17.005196,-58.66286,-6.4039555,5.569089,-21.459463,-13.886439,9.740165,-17.049416,-10.55068,2.394318,2790.9655494055887,1307.6870990634534,0.3401348407451923,1.9689319,1.0165584,8.349909,0
-104.69417,14.655716,-57.80089,13.873205,-57.805347,-11.630949,-6.550509,-31.245289,-15.611862,0.22929512,-24.932566,-14.687644,3.339937,2748.849938861194,1455.5355742314546,0.3345703125,1.2305418,0.7398623,7.177403,0
-25.28076,13.751628,-44.973743,-4.3771305,-44.538834,-11.750949,-21.981186,-26.493923,-15.063818,-4.032255,-20.495033,-6.208889,-1.8835729,2877.9877419077125,1818.341720458017,0.32002351721938777,2.1349554,1.7139006,2.5934246,0
