mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,spectral_bandwidth,zero_crossing_rate,spectrogram_mean,spectrogram_median,spectrogram_variance,label
-148.1704,94.0356,-76.623146,-6.15887,-31.726639,16.595377,13.575854,-5.3711987,-11.24456,8.925919,-12.483284,-1.8684636,-4.206864,1622.544857,1232.794168,0.132205448,1.5288712,0.5622975,6.357198,1
-241.46497,112.49004,-22.280577,8.2467985,-23.825197,-15.25829,-4.53464,-5.6599207,-10.328648,-0.6151637,-2.0408826,-7.2611113,-2.8228881,1190.001199,1235.403259,0.086351478,0.62958884,0.12470304,3.029146,1
-161.64467,115.74318,-40.50289,-5.6683145,-24.697662,6.2378798,-5.429367,-7.6465793,-12.60963,-0.5743148,1.3438513,-8.666883,-8.556776,1290.597362,1293.34804,0.093956581,1.1913241,0.32208827,5.2390833,1
-200.70049,53.07771,-98.804375,15.188409,-24.709143,18.078508,29.123951,1.4152759,-12.381158,20.326971,-19.419424,-1.3171176,2.271274,2084.643211,1212.335573,0.232625,0.8715151,0.17934522,1.8039987,1
-178.04987,60.422523,-48.897972,-15.414605,-42.719353,-3.029656,-0.8850652,-17.357754,-4.4120936,13.907415,-6.3819485,5.7805104,-12.57894,1565.491833,1376.796822,0.093545237,1.2662476,0.34479138,12.485541,1
-128.17252,70.776825,-107.54098,9.508116,-16.037138,21.215433,-1.4088377,-9.505132,-19.828194,4.4136024,-4.2880177,-4.7558265,-3.4420998,1753.530976,1127.907153,0.150030227,1.7781335,0.59946316,9.180307,1
-160.02788,43.394875,-74.59198,-2.485107,-36.23526,-28.344795,-10.063238,-3.1262548,12.843089,20.454355,-18.571953,-13.780249,-17.544632,1760.955311,1330.707286,0.115376134,1.283416,0.26284632,7.031846,1
-220.37863,113.59534,-42.909866,-18.254654,6.5984554,12.14454,-4.2719245,-8.797474,-7.1413803,4.559275,-5.936837,0.23430517,22.721079,1273.455063,1190.020218,0.109890408,0.90679914,0.09827552,4.7667623,1
-246.92578,138.36441,-23.04095,16.277891,-0.037594344,15.780202,6.816438,-15.451761,7.015247,5.7250056,-0.19281946,7.5327563,-0.99404436,1003.567561,1167.549791,0.063658633,0.549145,0.09446622,1.5483937,1
-210.61092,134.99605,-31.816803,-2.4518518,3.7909188,3.4478376,9.724647,-26.291082,12.739466,13.374963,-7.746715,2.9136927,-4.745389,1082.994022,1148.920713,0.080726498,0.8850343,0.118065745,5.40957,1
-226.06871,139.8304,-16.299643,12.264275,-2.014684,6.07623,9.254622,-15.647597,0.24539189,10.364032,5.709028,15.215908,0.82973325,935.5667055,1157.109086,0.05768821,0.7004781,0.07872529,4.3479,1
-202.6829,115.97452,-53.892124,-9.507337,0.6977714,14.590379,-5.129452,4.2857075,-6.908817,9.378357,5.2591724,12.666074,13.020557,1291.121571,1156.598132,0.114053416,0.88479435,0.1363458,4.260956,1
-215.94823,122.17819,-28.65811,2.2270427,-9.131135,1.771315,-8.696807,-19.181025,-1.9113922,-4.608738,-16.726393,11.55682,11.381292,1184.110599,1233.680989,0.084117543,0.80342335,0.14029695,6.2530622,1
-148.95589,63.683624,-88.41227,-27.114017,11.233807,11.095522,-4.4741387,7.5588684,-10.841073,35.829803,9.930479,19.476492,-1.7726389,1658.861149,1241.707962,0.155587333,1.3369881,0.29637724,16.957071,1
-277.39474,73.30836,-68.72565,17.893188,-5.932261,14.676468,14.540243,1.0608187,-7.796639,12.683784,-12.716236,-1.130036,-3.258819,1856.618593,1401.814293,0.160148245,0.6200933,0.2827,0.73494977,1
-224.3553,130.98833,-56.79269,-4.1129856,7.396147,-15.751674,22.557308,-24.45364,15.240205,22.36257,-24.042522,-3.7182283,13.6692295,1114.433809,971.9897121,0.107196514,1.0649058,0.052711196,13.804733,1
-236.43437,163.60245,-62.32863,4.656609,7.351837,-3.2813058,3.0122275,-11.835553,-2.8382974,6.478757,0.849499,10.421682,-7.159707,1005.901448,980.5480155,0.082042605,0.85040426,0.032410778,2.5958762,1
-250.63467,133.2906,-34.270767,21.826159,2.2118278,0.93513197,2.2600038,-11.568888,4.1991806,11.978251,14.156588,20.918928,18.495203,983.1981045,1028.077549,0.064737009,0.67807794,0.07033935,6.0342374,1
-330.02988,111.426636,-3.1425483,4.829277,6.2231197,-2.8239195,3.5024304,0.6535364,-3.0050287,10.616119,-11.510267,-7.1928043,-1.8208869,970.7593471,1152.15468,0.069697132,0.5070885,0.0530957,1.3207177,1
-366.6731,121.532005,8.9017,-0.446913,11.20372,2.2582288,-1.8883233,7.0982203,-3.550801,4.1746182,-3.8793232,-9.858894,-2.7786515,930.6613516,1211.559099,0.055261037,0.46688628,0.046255816,1.1320395,1
-330.93716,107.98061,-8.930459,-4.313375,1.9069948,20.957687,1.4739767,-0.5103542,12.913232,2.3936622,-14.267662,-8.063432,-2.126067,966.6328005,1136.640667,0.059214274,0.6666438,0.13858263,2.0642734,1
-363.41455,104.804085,3.6707025,-5.2628207,7.2267704,16.402176,7.9749284,0.82799196,7.487229,-0.5574083,-10.661416,-7.007479,-5.7198453,937.4432734,1211.241292,0.051496479,0.44839373,0.069805324,1.0409424,1
-335.99496,95.19634,8.130407,-8.726601,4.363781,15.217356,5.3888803,-1.7603887,9.013797,1.8415275,-9.40698,-5.6166415,-9.652913,991.7195954,1240.881417,0.054886123,0.48317468,0.07363146,2.1248205,1
-354.08,108.280685,-5.7261295,-8.506847,8.23282,12.92277,7.112725,-1.5145521,8.149022,1.1610727,-11.319095,-5.355903,-5.961649,910.6657935,1151.87716,0.051571378,0.5871222,0.07844831,1.259231,1
-381.75302,110.71589,8.375213,0.4601404,15.687085,18.099142,12.032805,2.523519,6.1200604,3.5483134,-9.3641405,-3.6400483,-2.6543412,835.6546273,1167.254541,0.043961064,0.4232052,0.062089365,0.6430037,1
