Iteration,Model,Accuracy,Precision,Recall,F1-Score
80,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9515151515151515,0.9385474860335196,0.9710982658959537,0.9545454545454546
81,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9363636363636364,0.9367816091954023,0.9421965317919075,0.9394812680115274
82,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9515151515151515,0.9590643274853801,0.9479768786127167,0.9534883720930233
83,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9545454545454546,0.9730538922155688,0.9393063583815029,0.9558823529411765
84,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9484848484848485,0.930939226519337,0.9739884393063584,0.9519774011299436
85,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9545454545454546,0.9488636363636364,0.9653179190751445,0.9570200573065902
86,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9424242424242424,0.9666666666666667,0.9219653179190751,0.9437869822485208
87,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.95,0.9643916913946587,0.9393063583815029,0.9516837481698389
88,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9454545454545454,0.9329608938547486,0.9653179190751445,0.9488636363636364
89,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.946969696969697,0.9430199430199431,0.9566473988439307,0.9497847919655668
90,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.95,0.9458689458689459,0.9595375722543352,0.9526542324246772
91,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9454545454545454,0.9454022988505747,0.9508670520231214,0.9481268011527377
92,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9484848484848485,0.956140350877193,0.9450867052023122,0.9505813953488372
93,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9393939393939394,0.9180327868852459,0.9710982658959537,0.9438202247191011
94,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.953030303030303,0.9618768328445748,0.9479768786127167,0.9548762736535662
95,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.956060606060606,0.9464788732394366,0.9710982658959537,0.9586305278174037
96,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9515151515151515,0.9485714285714286,0.9595375722543352,0.9540229885057471
97,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.95,0.9484240687679083,0.9566473988439307,0.9525179856115108
98,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.95,0.9671641791044776,0.9364161849710982,0.9515418502202643
99,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.946969696969697,0.9481268011527377,0.9508670520231214,0.9494949494949495
100,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9454545454545454,0.9329608938547486,0.9653179190751445,0.9488636363636364
