model_name,true_negative,false_positive,false_negative,true_positive
Neural Network,296,18,13,333
Neural Network,295,19,12,334
Neural Network,294,20,10,336
Neural Network,292,22,13,333
Neural Network,292,22,9,337
Neural Network,296,18,14,332
Neural Network,294,20,13,333
Neural Network,288,26,9,337
Neural Network,294,20,9,337
Neural Network,293,21,14,332
Neural Network,294,20,11,335
Neural Network,295,19,11,335
Neural Network,296,18,8,338
Neural Network,291,23,8,338
Neural Network,298,16,11,335
Neural Network,293,21,7,339
Neural Network,289,25,9,337
Neural Network,296,18,12,334
Neural Network,293,21,19,327
Neural Network,292,22,5,341
Neural Network,295,19,13,333
Neural Network,294,20,11,335
CNN,293,21,20,326
CNN,288,26,14,332
CNN,293,21,25,321
CNN,290,24,21,325
CNN,292,22,20,326
CNN,292,22,19,327
CNN,280,34,15,331
CNN,289,25,22,324
CNN,287,27,15,331
CNN,291,23,17,329
CNN,283,31,15,331
CNN,296,18,19,327
CNN,293,21,19,327
CNN,296,18,21,325
CNN,287,27,16,330
CNN,294,20,18,328
CNN,289,25,17,329
CNN,289,25,19,327
CNN,289,25,18,328
CNN,294,20,22,324
CNN,291,23,16,330
CNN,286,28,12,334
CNN,295,19,18,328
CNN,281,33,18,328
CNN,289,25,18,328
CNN,295,19,17,329
CNN,289,25,18,328
CNN,289,25,18,328
CNN,291,23,18,328
CNN,292,22,18,328
CNN,291,23,18,328
CNN,292,22,19,327
CNN,293,21,16,330
CNN,292,22,22,324
CNN,289,25,15,331
CNN,288,26,16,330
CNN,288,26,16,330
CNN,296,18,20,326
CNN,293,21,18,328
CNN,289,25,19,327
CNN,291,23,18,328
CNN,290,24,19,327
CNN,294,20,24,322
CNN,293,21,19,327
CNN,297,17,24,322
CNN,295,19,22,324
CNN,290,24,18,328
CNN,291,23,17,329
CNN,292,22,22,324
CNN,288,26,15,331
RNN,291,23,33,313
RNN,287,27,21,325
RNN,291,23,21,325
RNN,294,20,24,322
RNN,298,16,24,322
RNN,292,22,16,330
RNN,299,15,18,328
RNN,296,18,23,323
RNN,292,22,14,332
RNN,293,21,14,332
RNN,292,22,14,332
RNN,288,26,13,333
RNN,297,17,19,327
RNN,295,19,14,332
RNN,299,15,20,326
RNN,285,29,7,339
RNN,296,18,14,332
RNN,296,18,17,329
RNN,290,24,11,335
RNN,298,16,18,328
RNN,300,14,18,328
RNN,296,18,17,329
RNN,297,17,20,326
RNN,297,17,19,327
RNN,293,21,17,329
RNN,301,13,22,324
RNN,287,27,10,336
RNN,292,22,17,329
RNN,289,25,12,334
RNN,294,20,16,330
RNN,297,17,15,331
RNN,289,25,14,332
RNN,290,24,14,332
RNN,296,18,19,327
RNN,292,22,18,328
RNN,294,20,16,330
RNN,287,27,9,337
RNN,294,20,17,329
RNN,297,17,17,329
RNN,294,20,15,331
RNN,294,20,16,330
RNN,294,20,14,332
RNN,295,19,17,329
RNN,297,17,15,331
RNN,294,20,18,328
RNN,287,27,13,333
RNN,299,15,16,330
RNN,287,27,11,335
RNN,298,16,16,330
RNN,297,17,16,330
LSTM,268,46,12,334
LSTM,299,15,22,324
LSTM,289,25,13,333
LSTM,301,13,21,325
LSTM,297,17,21,325
LSTM,291,23,16,330
LSTM,282,32,13,333
LSTM,285,29,12,334
LSTM,294,20,16,330
LSTM,295,19,18,328
LSTM,294,20,12,334
LSTM,298,16,17,329
LSTM,301,13,17,329
LSTM,289,25,10,336
LSTM,296,18,14,332
LSTM,287,27,12,334
LSTM,290,24,13,333
LSTM,294,20,16,330
LSTM,296,18,13,333
LSTM,294,20,14,332
LSTM,289,25,11,335
LSTM,295,19,13,333
LSTM,295,19,13,333
LSTM,292,22,13,333
LSTM,294,20,11,335
LSTM,295,19,12,334
LSTM,296,18,14,332
LSTM,291,23,13,333
LSTM,297,17,16,330
LSTM,293,21,14,332
LSTM,291,23,10,336
LSTM,292,22,12,334
LSTM,293,21,12,334
LSTM,290,24,13,333
LSTM,289,25,15,331
LSTM,295,19,15,331
LSTM,289,25,10,336
LSTM,294,20,13,333
LSTM,290,24,10,336
LSTM,296,18,15,331
LSTM,294,20,13,333
LSTM,290,24,8,338
LSTM,292,22,13,333
LSTM,293,21,14,332
LSTM,296,18,13,333
LSTM,295,19,13,333
LSTM,286,28,10,336
LSTM,289,25,10,336
LSTM,294,20,13,333
LSTM,299,15,15,331
GRU,297,17,40,306
GRU,278,36,10,336
GRU,290,24,16,330
GRU,302,12,29,317
GRU,289,25,12,334
GRU,303,11,22,324
GRU,287,27,12,334
GRU,297,17,16,330
GRU,290,24,13,333
GRU,296,18,13,333
GRU,288,26,12,334
GRU,293,21,11,335
GRU,301,13,16,330
GRU,295,19,14,332
GRU,295,19,15,331
GRU,300,14,14,332
GRU,298,16,12,334
GRU,288,26,9,337
GRU,301,13,14,332
GRU,293,21,15,331
GRU,295,19,11,335
GRU,295,19,10,336
GRU,295,19,9,337
GRU,297,17,15,331
GRU,295,19,14,332
GRU,296,18,10,336
GRU,290,24,13,333
GRU,293,21,11,335
GRU,291,23,12,334
GRU,296,18,14,332
GRU,298,16,8,338
GRU,292,22,12,334
GRU,292,22,11,335
GRU,298,16,10,336
GRU,290,24,8,338
GRU,292,22,11,335
GRU,297,17,13,333
GRU,294,20,12,334
GRU,294,20,9,337
GRU,291,23,13,333
GRU,294,20,10,336
GRU,296,18,12,334
GRU,294,20,12,334
GRU,297,17,16,330
GRU,293,21,9,337
GRU,294,20,11,335
GRU,296,18,11,335
GRU,299,15,16,330
GRU,292,22,9,337
GRU,298,16,15,331
